CGPA,Class_X_Marks,Class_XII_Marks,Annual_Income_LPA,Placed,Salary_Package_LPA
5.37,69.7,71.01,2.56,0,
9.93,67.07,85.41,0.4,1,5.25
8.86,73.93,76.11,2.97,0,
5.99,64.65,77.48,2.21,1,3.8
5.03,69.46,78.84,4.57,0,
9.08,63.02,77.37,2.79,1,5.18
8.53,94.65,79.71,1.46,1,5.08
8.65,75.35,87.95,0.61,0,
8.86,68.0,74.36,1.38,0,
5.37,77.14,80.51,0.82,1,2.62
6.79,73.88,70.92,1.02,1,4.19
5.58,72.79,89.28,2.61,1,4.44
9.32,81.14,63.88,6.19,1,4.27
8.12,82.58,93.61,2.23,1,4.98
6.65,69.69,71.52,0.63,1,2.0
5.32,69.24,54.83,2.32,1,2.5
6.55,72.25,73.54,4.24,0,
6.63,51.98,63.83,1.0,0,
8.65,59.85,82.09,1.46,1,3.73
8.19,88.67,64.17,1.65,1,3.87
9.44,91.45,66.65,0.87,0,
7.36,72.51,49.33,2.73,0,
5.6,80.77,66.57,1.48,0,
8.57,78.11,42.91,2.28,0,
8.8,100.0,52.99,0.8,0,
7.81,86.2,81.12,1.15,1,4.76
8.85,73.72,81.43,2.9,1,2.49
7.47,65.44,77.11,1.21,0,
7.61,58.94,60.4,6.48,0,
7.14,77.03,71.43,1.18,0,
5.13,67.44,71.96,1.95,1,2.74
5.54,60.78,58.1,3.43,1,3.31
5.16,68.53,90.04,0.52,1,3.36
8.18,64.18,82.53,0.4,0,
6.57,91.87,69.35,0.48,0,
7.54,83.82,72.32,4.47,1,4.35
9.54,74.92,74.5,1.05,1,5.32
6.25,89.8,47.5,12.6,1,6.61
7.05,75.77,69.03,1.04,0,
8.78,66.39,63.82,1.89,0,
6.14,90.23,59.98,5.59,0,
5.38,80.39,68.63,8.1,1,3.47
6.45,64.63,93.57,8.47,1,3.73
5.81,73.1,79.69,4.28,1,3.11
9.65,66.24,65.15,3.69,0,
9.04,61.17,78.87,2.61,1,4.88
8.17,84.26,88.79,3.03,1,3.38
9.36,94.09,83.1,1.05,1,5.72
9.02,61.01,72.72,0.85,0,
5.93,80.63,64.24,1.62,1,2.52
9.46,68.49,80.38,1.42,0,
7.7,70.13,76.72,1.13,1,5.15
9.04,69.08,82.74,2.84,1,4.31
9.48,66.36,79.62,3.49,1,5.14
6.59,75.49,84.59,1.75,1,3.25
5.55,66.69,65.58,5.31,1,3.75
6.14,77.7,87.81,0.65,1,4.26
7.14,74.5,74.37,1.39,1,5.42
9.09,72.61,96.9,0.92,0,
9.3,65.92,63.73,0.37,1,5.15
5.03,69.23,92.83,1.52,0,
7.55,82.55,74.37,1.48,1,5.23
7.09,80.01,64.18,5.46,0,
6.11,65.22,66.19,2.7,0,
5.6,75.99,68.16,0.72,1,3.13
6.69,82.51,77.09,7.17,1,3.82
9.71,58.31,78.27,4.32,1,4.92
6.62,80.43,65.12,2.59,1,3.91
7.59,68.37,71.71,1.36,1,3.94
8.52,80.71,97.71,0.76,0,
6.82,67.37,92.73,1.21,1,5.19
9.86,56.95,77.24,3.89,1,5.67
9.81,58.72,72.46,7.35,1,5.53
6.26,75.48,73.44,5.59,1,3.23
7.49,77.6,79.36,1.1,1,3.45
6.5,65.96,59.73,0.66,1,4.22
6.42,81.39,68.91,1.82,1,4.37
5.18,58.38,51.98,0.4,0,
8.05,74.34,76.79,2.11,1,3.85
7.51,62.89,79.77,1.45,1,3.85
5.26,68.48,66.2,1.12,0,
6.39,75.47,90.89,0.45,0,
9.54,66.4,57.29,2.45,1,5.45
6.2,71.15,54.43,1.06,0,
5.72,85.06,74.69,0.64,0,
7.45,69.23,84.57,0.16,1,3.97
9.93,83.36,92.21,1.59,1,5.59
6.21,63.7,66.49,6.72,1,2.47
8.36,80.3,84.94,6.15,0,
8.81,89.42,71.54,1.13,0,
6.19,50.28,69.93,1.01,0,
8.64,67.03,82.6,2.37,1,3.25
6.84,80.77,79.83,0.73,1,4.91
8.16,72.97,53.08,2.07,1,4.75
8.17,78.71,89.72,3.0,1,4.93
7.68,68.96,88.56,4.34,0,
5.45,75.87,64.49,1.5,0,
9.18,73.44,76.75,1.38,0,
6.6,86.68,77.93,0.81,0,
5.93,77.54,75.13,0.84,0,
5.2,78.38,65.4,1.36,0,
7.95,70.88,63.94,2.18,0,
8.39,70.12,71.69,3.38,1,3.71
5.08,70.67,86.07,0.86,0,
7.56,78.94,78.52,5.37,1,3.78
6.13,70.79,67.55,1.31,0,
8.23,77.9,81.26,1.6,1,5.46
5.87,95.75,37.82,0.9,1,3.08
8.45,83.71,85.79,0.23,1,4.96
6.93,71.74,51.12,3.3,1,3.14
9.68,87.01,67.65,2.93,1,3.56
5.69,70.92,58.56,1.3,1,3.39
6.71,54.62,56.46,1.72,0,
5.57,64.92,85.93,2.46,1,3.28
9.62,56.29,66.39,0.47,1,3.58
9.39,71.48,76.16,1.07,1,6.42
6.29,75.18,71.44,3.07,1,4.31
8.3,91.76,77.72,0.6,0,
9.09,78.27,72.92,2.06,1,5.76
7.78,72.81,56.6,0.55,1,3.33
7.65,83.29,83.96,2.36,1,4.77
6.21,52.89,66.07,1.58,1,3.43
5.47,77.36,53.32,0.45,1,3.31
9.49,82.71,66.86,4.13,1,5.91
9.5,60.21,90.01,0.9,1,5.49
8.17,86.44,82.2,0.85,1,4.79
6.7,78.38,67.82,1.91,1,2.42
6.75,70.85,67.81,4.08,1,2.92
8.63,81.33,68.14,0.72,1,4.45
9.49,97.71,96.92,1.71,0,
9.44,76.82,76.58,2.29,1,4.01
8.9,77.48,77.16,2.83,1,6.64
8.21,70.41,84.36,1.87,1,5.64
5.42,66.5,74.87,1.21,1,3.66
5.81,83.3,68.89,0.84,1,3.5
9.49,66.44,69.64,1.74,1,4.59
8.03,75.72,71.14,0.69,0,
5.05,70.22,71.55,0.16,1,3.1
5.51,79.79,80.73,2.31,1,3.62
8.32,78.34,72.62,3.35,1,3.44
5.03,85.38,80.79,0.25,0,
5.8,69.9,71.03,0.73,0,
7.74,72.3,72.94,2.67,1,2.62
8.46,65.21,48.02,8.44,1,3.43
8.26,70.56,83.0,1.65,0,
6.12,78.77,76.16,0.91,1,5.11
8.56,82.57,83.98,1.41,1,5.13
6.19,65.78,37.24,4.89,0,
6.63,83.7,97.06,0.97,0,
8.73,88.56,70.32,0.86,1,3.44
8.25,79.13,85.3,1.11,1,5.41
9.25,93.77,59.52,0.76,0,
8.29,67.26,79.35,1.8,1,4.31
7.84,62.55,59.36,5.97,1,5.02
5.47,57.21,64.51,2.11,0,
6.84,89.96,94.97,1.33,1,3.07
6.33,81.54,69.71,1.29,0,
6.22,74.44,74.61,0.47,1,4.41
9.87,77.8,82.44,3.3,1,3.93
6.97,63.75,77.95,1.53,0,
9.46,99.46,73.81,1.41,1,4.76
8.16,76.29,76.38,20.94,1,4.83
8.97,76.09,100.0,2.07,1,5.91
7.51,82.26,71.31,0.89,1,3.77
7.88,79.81,74.41,1.16,0,
7.46,77.24,84.61,4.08,1,5.13
5.98,67.1,85.27,1.78,0,
8.61,79.71,86.24,0.52,0,
6.4,93.82,79.66,3.4,0,
5.12,88.45,58.28,0.95,1,3.47
8.23,90.93,91.6,7.28,1,4.31
5.89,69.89,58.24,3.86,0,
9.7,65.1,75.63,1.14,1,2.9
9.77,73.74,62.95,4.54,1,4.35
9.57,75.56,71.23,1.72,0,
6.85,85.94,75.95,3.22,0,
5.08,58.08,75.86,2.4,1,3.02
9.64,90.3,77.06,0.83,1,5.49
7.14,73.42,91.36,0.97,1,3.83
9.83,70.73,77.44,3.71,0,
9.82,64.88,69.07,1.25,0,
9.27,58.45,83.57,1.18,1,4.56
6.47,83.23,86.27,0.76,1,4.37
6.93,75.73,57.27,2.28,0,
9.26,62.1,79.17,8.47,1,4.25
6.58,62.05,80.41,0.69,0,
5.85,71.64,68.43,1.66,0,
7.78,91.69,88.51,5.04,1,2.87
9.68,72.4,70.2,1.53,1,5.83
8.48,59.97,73.51,2.34,1,4.06
7.85,72.54,69.92,0.7,1,4.51
5.49,72.27,72.19,2.29,0,
8.08,48.03,58.84,1.4,0,
9.95,74.46,54.72,3.58,0,
5.7,72.69,91.13,4.21,1,3.29
7.59,81.96,61.84,12.92,1,3.45
9.39,93.49,60.1,2.59,1,6.28
8.7,86.27,46.16,2.11,1,3.72
8.49,72.31,64.33,1.9,1,3.92
8.51,63.93,56.12,1.23,1,4.37
6.8,100.0,91.7,2.13,1,3.28
6.47,75.59,84.12,1.28,1,3.47
9.05,75.14,63.74,1.86,0,
9.05,74.76,99.03,4.67,1,4.69
9.34,76.98,83.78,0.73,1,4.87
9.57,73.56,68.1,4.05,1,4.42
7.56,69.26,42.01,4.67,1,2.53
7.51,69.53,99.49,1.48,1,4.55
8.99,74.67,55.33,0.3,1,5.9
8.25,69.57,52.26,1.0,1,4.13
8.51,67.87,84.27,4.59,0,
8.98,76.06,100.0,1.6,0,
9.45,72.45,88.61,0.73,1,3.98
6.69,90.04,78.77,1.09,1,5.33
6.88,48.49,79.14,3.19,0,
5.47,85.92,82.24,2.52,1,4.78
7.89,87.46,81.11,1.34,0,
5.18,54.27,75.37,1.21,0,
7.33,71.57,73.25,1.19,0,
7.71,71.29,71.25,0.78,1,4.55
6.43,60.92,62.95,5.93,1,3.6
7.95,67.22,68.63,1.26,1,3.94
5.15,63.89,51.68,4.31,1,3.78
5.19,92.52,70.82,5.5,0,
9.11,84.36,60.14,3.62,1,3.12
6.8,87.72,58.76,1.15,1,2.89
5.64,82.22,74.16,2.25,0,
7.61,63.71,88.7,1.6,0,
8.85,69.75,83.02,0.79,0,
6.08,79.89,53.15,2.11,0,
8.11,62.78,60.12,0.63,1,2.51
5.43,82.13,83.29,4.21,1,3.54
5.26,72.6,60.21,1.12,1,2.0
7.66,71.25,69.3,1.91,1,4.68
7.7,82.11,78.6,2.04,1,4.21
8.19,79.44,60.38,1.32,1,4.61
8.63,71.39,73.26,2.6,1,3.81
9.88,86.59,55.99,1.11,0,
7.58,64.19,64.78,3.27,1,4.76
6.61,81.16,75.84,0.55,1,4.28
8.98,80.93,52.88,1.8,1,4.43
6.35,71.9,77.29,7.68,1,4.1
7.19,78.26,71.76,0.73,1,3.41
5.39,62.49,78.63,0.95,1,3.85
5.13,84.24,74.69,2.46,0,
9.81,73.15,88.37,1.88,1,6.0
9.18,69.77,73.5,2.15,1,4.12
8.48,85.49,66.85,2.41,1,4.8
7.04,67.96,73.47,2.7,0,
5.87,60.92,78.52,3.95,1,3.8
5.78,59.43,72.59,2.26,0,
6.25,81.06,72.49,1.34,0,
7.75,62.2,63.58,2.79,0,
8.57,92.55,64.05,7.44,1,4.37
8.3,54.18,55.17,1.46,0,
6.4,91.96,92.99,0.75,1,3.04
9.77,77.11,57.07,3.95,0,
8.69,74.03,63.69,1.48,1,4.65
7.77,69.55,63.38,0.29,1,3.88
8.06,78.99,82.74,3.21,1,3.84
7.1,74.62,68.46,1.06,1,4.71
6.24,86.03,86.97,1.51,0,
6.78,76.14,63.92,2.12,1,3.33
8.79,76.5,75.35,1.9,1,4.14
5.07,71.36,61.98,2.87,1,3.35
5.58,74.43,97.74,1.15,0,
5.23,78.08,57.75,2.45,0,
5.2,57.9,75.72,1.32,1,3.61
9.28,61.52,79.61,2.94,0,
8.52,82.43,76.97,2.66,1,5.66
7.37,76.71,69.78,0.77,1,4.07
5.49,73.16,70.44,3.88,0,
7.46,75.18,72.53,1.06,1,3.99
7.37,78.48,70.24,3.11,1,4.01
5.87,69.6,83.57,2.18,1,2.09
7.17,67.22,98.53,7.08,1,5.32
6.99,76.96,65.31,1.36,1,3.85
8.08,65.22,55.56,1.23,0,
8.18,79.08,70.94,1.6,1,5.13
5.23,57.97,100.0,1.28,1,2.45
6.87,85.29,62.36,3.09,1,4.2
8.13,79.73,91.67,0.45,1,4.35
7.52,77.56,92.13,0.7,1,4.98
9.28,84.83,65.36,0.69,0,
8.29,91.65,78.83,3.48,0,
5.81,85.14,91.54,6.4,1,3.21
5.35,56.59,67.45,1.5,0,
8.21,62.2,69.56,1.42,0,
5.13,68.75,65.02,1.72,0,
7.93,75.26,59.82,4.12,0,
9.7,80.18,64.21,0.78,1,4.84
7.88,67.74,57.31,1.97,1,3.29
6.94,76.87,72.41,3.55,1,4.54
8.22,67.45,62.76,2.43,1,3.89
7.29,68.88,74.81,1.89,0,
7.73,60.93,53.33,3.63,1,3.53
9.71,65.77,75.97,0.19,0,
6.93,61.48,82.0,2.8,0,
9.81,65.24,48.08,0.96,0,
9.53,85.54,76.49,0.38,0,
5.98,65.51,86.73,2.45,1,4.58
5.35,100.0,57.48,4.88,1,3.57
5.5,79.93,92.07,1.46,1,3.03
5.09,76.85,77.03,3.49,1,3.54
5.47,66.42,63.54,5.91,0,
8.42,82.0,71.33,4.66,1,3.95
5.36,69.24,78.7,6.04,0,
6.59,76.22,72.91,2.95,1,2.33
9.22,100.0,78.47,1.73,1,4.76
5.12,74.04,60.95,0.45,1,3.12
9.07,86.49,74.03,1.34,1,4.76
6.41,67.97,55.04,0.83,1,3.06
5.59,74.65,70.67,9.24,0,
8.48,92.71,61.15,1.41,1,5.02
8.14,68.73,63.17,1.8,0,
9.39,93.12,86.83,2.53,1,5.78
8.68,82.08,85.1,1.69,0,
9.02,69.38,79.31,6.32,1,4.09
6.41,81.32,58.89,0.99,0,
5.89,84.73,68.2,1.9,0,
8.75,81.22,86.56,0.9,0,
9.03,59.3,73.7,0.57,0,
9.95,67.73,99.83,1.0,1,6.04
7.06,72.52,76.72,1.58,0,
6.86,74.26,74.3,1.15,0,
8.88,81.21,68.29,0.94,1,4.38
6.7,76.78,73.6,0.53,0,
9.65,61.65,70.17,1.52,1,5.84
9.29,78.8,80.5,0.49,1,3.95
7.14,81.11,83.48,2.99,1,4.82
8.75,80.6,62.57,1.74,0,
8.77,85.81,56.03,0.51,0,
5.52,83.34,49.97,1.27,1,2.81
9.51,79.59,78.1,0.89,1,5.55
7.53,74.3,58.76,2.1,1,5.77
9.13,58.39,46.17,4.76,0,
6.6,79.3,76.66,0.36,0,
9.48,77.08,100.0,1.78,1,3.66
6.95,77.72,71.93,1.43,0,
5.05,62.23,82.06,2.78,0,
9.53,64.19,72.98,1.93,1,4.49
5.46,85.53,70.81,0.89,1,3.7
6.6,74.6,83.03,1.26,1,3.96
9.75,81.82,68.52,0.86,1,5.34
9.75,75.28,75.21,3.85,1,5.18
7.87,75.3,75.86,1.66,1,5.28
8.16,84.38,63.98,7.45,0,
7.24,69.84,83.9,1.55,1,3.49
6.47,75.96,69.9,0.92,1,3.03
6.64,70.38,62.93,0.48,0,
8.36,70.66,78.44,0.38,1,5.16
8.76,71.91,61.22,0.46,1,4.8
8.96,77.22,72.34,2.02,1,5.63
8.95,70.21,71.89,2.45,1,3.66
5.46,87.56,85.03,0.46,1,4.84
7.47,66.05,77.7,3.33,1,5.24
5.29,73.13,71.7,1.11,1,3.75
7.75,70.6,81.81,1.83,1,5.65
7.21,89.47,88.68,5.91,1,2.94
9.44,76.97,78.69,3.34,1,4.51
6.75,85.32,72.12,1.31,0,
5.59,60.14,56.26,0.8,1,3.58
5.71,77.67,59.22,0.29,1,2.41
8.81,83.9,68.34,0.92,0,
8.09,75.82,64.69,1.37,0,
5.51,85.65,69.76,0.74,0,
5.42,69.83,72.68,1.47,0,
8.5,89.09,78.36,1.73,0,
5.36,97.99,71.15,1.36,0,
9.11,71.37,77.84,0.97,1,5.74
8.53,70.54,72.77,1.86,1,5.07
5.41,89.53,48.29,2.32,1,3.11
5.42,90.8,60.73,0.68,1,2.95
9.93,69.77,70.27,5.03,1,3.35
6.87,70.8,57.48,1.5,1,2.77
6.85,72.18,79.2,1.65,0,
9.06,61.56,90.37,2.87,1,3.72
9.74,65.81,86.63,1.96,1,5.17
9.93,64.96,69.44,3.49,1,5.72
8.77,67.32,89.89,2.05,1,3.68
6.88,74.65,73.78,1.0,1,3.98
5.42,77.34,67.95,2.17,1,3.97
8.89,90.51,64.64,0.65,1,4.72
7.79,65.02,68.37,1.78,1,6.34
7.12,84.84,67.34,1.58,0,
9.53,72.86,74.04,1.38,0,
5.56,74.51,73.93,1.47,0,
7.46,81.75,72.04,0.36,1,4.74
5.06,63.77,77.24,1.05,0,
7.34,78.82,86.29,1.75,0,
5.28,76.66,83.39,1.85,0,
5.59,79.92,54.18,0.72,0,
5.59,77.89,41.35,4.48,1,3.51
8.25,99.55,83.21,0.81,0,
8.73,68.62,55.6,3.53,0,
7.92,69.69,69.3,2.29,1,5.0
9.81,68.77,57.96,0.97,0,
6.87,69.45,50.38,6.74,0,
6.43,68.63,78.5,0.63,0,
9.34,86.89,81.11,3.4,1,4.45
6.12,89.21,65.08,3.62,0,
9.82,69.29,40.91,0.95,1,5.78
5.06,66.68,65.45,4.96,1,2.75
9.85,79.71,76.7,1.33,1,5.14
5.22,69.48,54.25,2.05,1,2.2
9.46,81.33,74.2,2.0,0,
7.64,77.03,71.82,1.46,0,
9.96,59.84,78.95,3.11,0,
5.37,90.48,73.43,3.07,1,2.68
7.77,92.96,60.32,0.4,1,3.94
9.85,68.87,86.36,4.62,1,5.28
7.62,71.12,70.1,0.43,1,4.58
8.15,77.86,71.67,3.72,1,4.18
8.48,78.34,60.8,4.01,1,3.69
7.27,81.59,66.68,0.68,1,4.7
8.14,95.1,61.38,1.17,1,5.0
7.92,73.23,69.92,0.67,1,3.47
9.51,67.02,92.54,1.37,1,6.08
5.23,61.21,55.54,1.27,1,3.8
6.4,67.69,52.64,3.04,0,
9.75,74.67,89.65,4.64,0,
9.45,92.95,69.49,4.97,1,5.45
7.28,69.82,63.97,1.04,1,3.16
8.1,77.24,84.48,1.38,0,
6.39,74.84,64.73,0.42,1,2.0
5.94,86.88,93.91,0.85,1,4.49
7.32,100.0,80.14,3.52,1,3.08
6.77,69.69,66.15,5.93,1,4.87
7.92,70.11,97.89,0.61,1,4.18
5.39,85.44,64.73,1.01,1,3.09
9.87,81.82,80.91,1.59,1,4.67
9.93,93.47,75.59,2.04,1,5.03
